year,name,level,avgSalary,employees
2015,Network & computer systems administrators,3,70475.7,205756
2014,Computer network architects,3,95684.3,104547
2015,Computer network architects,3,96596.8,107120
2014,Computer support specialists,3,53966.2,562292
2015,Computer support specialists,3,59949.1,632724
2014,Other Computer Occupations,3,70022,537293
2015,Other Computer Occupations,3,71308.9,578563
2014,Actuaries,3,127003,31118
2015,Actuaries,3,128374,26914
2014,Operations research analysts,3,78381.4,135022
2015,Operations research analysts,3,81954,137878
2014,"Miscellaneous mathematical science occupations, including mathematicians & statisticians",3,82847.5,46037
2015,"Miscellaneous mathematical science occupations, including mathematicians & statisticians",3,90093.8,51640
2014,Architecture & engineering occupations,2,80493.5,2544717
2015,Architecture & engineering occupations,2,83879.3,2592854
2014,"Architects, except naval",3,81950.3,157045
2015,"Architects, except naval",3,89317.1,155098
2014,"Surveyors, cartographers, & photogrammetrists",3,58408.7,38252
2015,"Surveyors, cartographers, & photogrammetrists",3,56080.2,31258
2014,Aerospace engineers,3,100313,115362
2015,Aerospace engineers,3,102563,118650
2014,Chemical engineers,3,103542,57036
2015,Chemical engineers,3,109748,66551
2014,Civil engineers,3,84747.4,298856
2015,Civil engineers,3,86538.6,310143
2014,Computer hardware engineers,3,95714,52138
2015,Computer hardware engineers,3,98691.2,52120
2014,Electrical & electronics engineers,3,95203.1,202222
2015,Electrical & electronics engineers,3,96877.9,212250
2014,Environmental engineers,3,80846.5,26129
2015,Environmental engineers,3,77927.8,30442
2014,Biomedical & agricultural engineers,3,85516.6,16825
2015,Biomedical & agricultural engineers,3,80555.8,16364
2014,"Industrial engineers, including health & safety",3,79333.9,177734
2015,"Industrial engineers, including health & safety",3,77332.8,197221
2014,Marine engineers & naval architects,3,79826.5,13294
2015,Marine engineers & naval architects,3,87735.8,12062
2014,Materials engineers,3,82322.3,30453
2015,Materials engineers,3,84780.4,42436
2014,Mechanical engineers,3,79258.7,241884
2015,Mechanical engineers,3,84106.8,248403
2014,"Petroleum, mining & geological engineers, including mining safety engineers",3,133053,40505
2015,"Petroleum, mining & geological engineers, including mining safety engineers",3,135251,48168
2014,"Miscellaneous engineers, including nuclear engineers",3,92575.6,508802
2015,"Miscellaneous engineers, including nuclear engineers",3,95825.5,535297
2014,Drafters,3,49733.7,148120
2015,Drafters,3,50545.5,149500
2014,"Engineering technicians, except drafters",3,53401,420060
2015,"Engineering technicians, except drafters",3,54527.2,366891
2014,Surveying & mapping technicians,3,50340.6,68584
2015,Surveying & mapping technicians,3,49492,61906
2014,"Life, physical, & social science occupations",2,66756.2,1232276
2015,"Life, physical, & social science occupations",2,68650.1,1261819
2014,Agricultural & food scientists,3,69584.4,22467
2015,Agricultural & food scientists,3,58196.6,21711
2014,Biological scientists,3,64113.3,66626
2015,Biological scientists,3,63638.3,73363
2014,Conservation scientists & foresters,3,53739.5,17520
2015,Conservation scientists & foresters,3,59625.8,19544
2014,"Medical scientists, & life scientists, all other",3,88246.7,137864
2015,"Medical scientists, & life scientists, all other",3,89889.3,151858
2014,Astronomers & physicists,3,88095,11556
2015,Astronomers & physicists,3,115694,8466
2014,Atmospheric & space scientists,3,82131.4,11339
2015,Atmospheric & space scientists,3,77766.5,11153
2014,Chemists & materials scientists,3,75858.1,83937
2015,Chemists & materials scientists,3,77570.2,86356
2014,Environmental scientists & geoscientists,3,94512.4,68289
2015,Environmental scientists & geoscientists,3,97068.6,68269
2014,Other Physical Scientists,3,77491.1,200463
2015,Other Physical Scientists,3,79721.1,217641
2014,Economists,3,119430,22854
2015,Economists,3,129207,21230
2014,Psychologists,3,65345.6,147561
2015,Psychologists,3,68872,152444
2014,Urban & regional planners,3,73135.6,24129
2015,Urban & regional planners,3,70035.8,21862
2014,"Miscellaneous social scientists, including survey researchers & sociologists",3,55202.2,55027
2015,"Miscellaneous social scientists, including survey researchers & sociologists",3,59706.8,33541
2014,Agricultural & food science technicians,3,44199.4,37990
2015,Agricultural & food science technicians,3,47650.3,36841
2014,Biological technicians,3,45442.4,22699
2015,Biological technicians,3,54970.4,21665
2014,Chemical technicians,3,51211.3,69299
2015,Chemical technicians,3,55232.6,70224
2014,"Geological & petroleum technicians, & nuclear technicians",3,70090.8,19095
2015,"Geological & petroleum technicians, & nuclear technicians",3,75412.3,21765
2014,"Miscellaneous life, physical, & social science technicians, including social science research assistants",3,38595.9,213561
2015,"Miscellaneous life, physical, & social science technicians, including social science research assistants",3,36227.9,223886
2014,Community & Social Service Occupations,2,41197.8,2439486
2015,Community & Social Service Occupations,2,41766.6,2509026
2014,"Education, legal, community service, arts, & media occupations",1,50308.4,15088407
2015,"Education, legal, community service, arts, & media occupations",1,51091.5,15279909
2014,Counselors,3,40510.9,698413
2015,Counselors,3,41972.8,764272
2014,Social workers,3,43263.4,804543
2015,Social workers,3,43180.3,830679
2014,Probation officers & correctional treatment specialists,3,49785.2,94969
2015,Probation officers & correctional treatment specialists,3,49392.6,88143
2014,Social & human service assistants,3,34406.1,177080
2015,Social & human service assistants,3,36294,182920
2014,"Miscellaneous community & social service specialists, including health educators & community health workers",3,41653.6,95452
2015,"Miscellaneous community & social service specialists, including health educators & community health workers",3,43552.7,91156
2014,Clergy,3,42686.9,417363
2015,Clergy,3,41716.6,411929
2014,"Directors, religious activities & education",3,35796.2,71008
2015,"Directors, religious activities & education",3,38595.6,71873
2014,"Religious workers, all other",3,27852.6,80658
2015,"Religious workers, all other",3,28289.3,68054
2014,Legal Occupations,2,112777,1504267
2015,Legal Occupations,2,114496,1540635
2014,Judicial law clerks,3,50538.5,19635
2015,Judicial law clerks,3,58423.5,20563
2014,"Lawyers, & judges, magistrates, & other judicial workers",3,149144,947362
2015,"Lawyers, & judges, magistrates, & other judicial workers",3,151638,968350
2014,Paralegals & legal assistants,3,48994.6,387792
2015,Paralegals & legal assistants,3,49536.2,393839
2014,Miscellaneous legal support workers,3,55937.4,149478
2015,Miscellaneous legal support workers,3,56038,157883
2014,"Education, Training, & Library Occupations",2,42100.2,8759380
2015,"Education, Training, & Library Occupations",2,42378,8793605
2014,Postsecondary teachers,3,56701,1449272
2015,Postsecondary teachers,3,57318.3,1509808
2014,Preschool & kindergarten teachers,3,23084.5,553663
2015,Preschool & kindergarten teachers,3,23378.7,575136
2014,Elementary & middle school teachers,3,46374.8,3511147
2015,Elementary & middle school teachers,3,46452.9,3497254
2014,Secondary school teachers,3,49690,777819
2015,Secondary school teachers,3,50239.6,797572
2014,Special education teachers,3,43773.9,273580
2015,Special education teachers,3,44596.4,258277
2014,Other teachers & instructors,3,31497.6,774548
2015,Other teachers & instructors,3,29761.9,768236
2014,"Archivists, curators, & museum technicians",3,45313.6,45246
2015,"Archivists, curators, & museum technicians",3,46165.5,45001
2014,Librarians,3,42465.6,179589
2015,Librarians,3,42922.6,166398
2014,Library technicians,3,14749.8,47358
2015,Library technicians,3,18978.9,50733
2014,Teacher assistants,3,19436.1,1023100
2015,Teacher assistants,3,20068,1017644
2014,"Other education, training, & library workers",3,45982,124058
2015,"Other education, training, & library workers",3,47940.7,107546
2014,"Arts, design, entertainment, sports, & media occupations",2,50373,2385274
2015,"Arts, design, entertainment, sports, & media occupations",2,52049.9,2436643
2014,Artists & related workers,3,54310.3,106058
2015,Artists & related workers,3,54611.3,123263
2014,Designers,3,50913.5,706854
2015,Designers,3,53318.5,732944
2014,Actors,3,43064.3,28015
2015,Actors,3,45256.9,32443
2014,Producers & directors,3,76208.9,134407
2015,Producers & directors,3,81629.2,136190
2014,"Athletes, coaches, umpires, & related workers",3,33181.9,279784
2015,"Athletes, coaches, umpires, & related workers",3,34717.2,256310
2014,Dancers & choreographers,3,25561.7,14710
2015,Dancers & choreographers,3,30100.6,17449
2014,"Musicians, singers, & related workers",3,33903.8,143156
2015,"Musicians, singers, & related workers",3,34436.4,141648
2014,"Entertainers & performers, sports & related workers, all other",3,41317.2,28495
2015,"Entertainers & performers, sports & related workers, all other",3,32329.1,29699
2014,Announcers,3,47250.3,37432
2015,Announcers,3,48626.2,41123
2014,"News analysts, reporters & correspondents",3,61779.8,74366
2015,"News analysts, reporters & correspondents",3,56966.8,73112
2014,Public relations specialists,3,77147.8,117499
2015,Public relations specialists,3,73138.8,127974
2014,Editors,3,55015,158179
2015,Editors,3,56813.2,164890
2014,Technical writers,3,67974.1,53293
2015,Technical writers,3,67200.7,54237
2014,Writers & authors,3,59832.2,159958
2015,Writers & authors,3,62385.9,159484
2014,Miscellaneous media & communication workers,3,35230.1,81229
2015,Miscellaneous media & communication workers,3,37100.4,90321
2014,Photographers,3,33941.6,114628
2015,Photographers,3,36254.6,104266
2014,"Television, video, & motion picture camera operators & editors",3,50294.2,43359
2015,"Television, video, & motion picture camera operators & editors",3,50266.2,52256
2014,"Broadcast & sound engineering technicians & radio operators, & media & communication equipment workers, all other",3,48229.4,103852
2015,"Broadcast & sound engineering technicians & radio operators, & media & communication equipment workers, all other",3,49727.2,99034
2014,Healthcare practitioners & technical occupations,2,72586,8445930
2015,Healthcare practitioners & technical occupations,2,73764.6,8621079
2014,Chiropractors,3,90075.8,41787
2015,Chiropractors,3,80306.5,40533
2014,Dentists,3,162761,136821
2015,Dentists,3,165731,133941
2014,Dietitians & nutritionists,3,44699.2,92692
2015,Dietitians & nutritionists,3,46211.2,89223
2014,Optometrists,3,104699,32232
2015,Optometrists,3,106963,31744
2014,Pharmacists,3,95928.3,283552
2015,Pharmacists,3,98727.7,292844
2014,Physicians & surgeons,3,207834,815351
2015,Physicians & surgeons,3,216097,868476
2014,Physician assistants,3,87402.3,100329
2015,Physician assistants,3,88963.1,95891
2014,Podiatrists,3,156073,6663
2015,Podiatrists,3,149906,6545
2014,Occupational therapists,3,60021.9,98754
2015,Occupational therapists,3,59731,103613
2014,Physical therapists,3,66462.8,221736
2015,Physical therapists,3,67106.9,229251
2014,Radiation therapists,3,74172.8,14317
2015,Radiation therapists,3,70684.9,16789
2014,Recreational therapists,3,40320.8,12199
2015,Recreational therapists,3,38174.6,10509
2014,Respiratory therapists,3,58294.3,113101
2015,Respiratory therapists,3,55387.8,102432
2014,Speechlanguage pathologists,3,57540.7,138500
2015,Speechlanguage pathologists,3,56043.4,141671
2014,"Other therapists, including exercise physiologists",3,44389.4,141653
2015,"Other therapists, including exercise physiologists",3,42693.2,146782
2014,Veterinarians,3,90928.6,71975
2015,Veterinarians,3,97745.7,66831
2014,Registered nurses,3,59947.7,3005295
2015,Registered nurses,3,60864.6,3068286
2014,Nurse anesthetists,3,152778,26195
2015,Nurse anesthetists,3,155320,27801
2014,Audiologists,3,72113.6,14474
2015,Audiologists,3,66504.5,15260
2014,"Health diagnosing & treating practitioners, all other",3,50202.3,17066
2015,"Health diagnosing & treating practitioners, all other",3,53357.1,17582
2014,Nurse practitioners & nurse midwives,3,89773.6,124172
2015,Nurse practitioners & nurse midwives,3,91939,131646
2014,Clinical laboratory technologists & technicians,3,45429.8,313086
2015,Clinical laboratory technologists & technicians,3,45657.9,325018
2014,Dental hygienists,3,49157,160941
2015,Dental hygienists,3,48971.2,177580
2014,Diagnostic related technologists & technicians,3,52694.5,336028
2015,Diagnostic related technologists & technicians,3,54474.8,341904
2014,Emergency medical technicians & paramedics,3,44299.9,208818
2015,Emergency medical technicians & paramedics,3,42782.9,204933
2014,Health practitioner support technologists & technicians,3,43762,625184
2015,Health practitioner support technologists & technicians,3,30875.4,626286
2014,Licensed practical & licensed vocational nurses,3,35372.3,845994
2015,Licensed practical & licensed vocational nurses,3,36166.1,821575
2014,Medical records & health information technicians,3,36926.2,163010
2015,Medical records & health information technicians,3,39038.9,176010
2014,"Opticians, dispensing",3,37962.2,58250
2015,"Opticians, dispensing",3,38687.5,55471
2014,Miscellaneous health technologists & technicians,3,47416.1,128809
2015,Miscellaneous health technologists & technicians,3,45328.2,126348
2014,Other healthcare practitioners & technical Occupations,3,56726.4,96946
2015,Other healthcare practitioners & technical Occupations,3,57982.6,128304
2014,Healthcare Support Occupations,2,24950.1,3421979
2015,Healthcare Support Occupations,2,25283.4,3505490
2014,Service Occupations,0,23451.1,24900832
2015,Service Occupations,0,23808.5,25003215
2014,"Nursing, psychiatric, & home health aides",3,22937.1,2024215
2015,"Nursing, psychiatric, & home health aides",3,23284.6,2020137
2014,Occupational therapy assistants & aides,3,37821.5,20007
2015,Occupational therapy assistants & aides,3,39188.6,21658
2014,Physical therapist assistants & aides,3,35822.4,79918
2015,Physical therapist assistants & aides,3,35055.7,87209
2014,Massage therapists,3,22887.2,127670
2015,Massage therapists,3,22969.2,124905
2014,Dental assistants,3,27577.4,284956
2015,Dental assistants,3,28861.1,309135
2014,Medical assistants,3,28594.1,511435
2015,Medical assistants,3,28240.7,520309
2014,Medical transcriptionists,3,27626.1,40446
2015,Medical transcriptionists,3,26410.8,38924
2014,Pharmacy aides,3,31478.4,39138
2015,Pharmacy aides,3,28950.7,46539
2014,Veterinary assistants & laboratory animal caretakers,3,23510.4,45202
2015,Veterinary assistants & laboratory animal caretakers,3,22178.4,51108
2014,Phlebotomists,3,28170.5,96595
2015,Phlebotomists,3,27936.7,120464
2014,"Healthcare support workers, all other, including medical equipment preparers",3,24882.5,152397
2015,"Healthcare support workers, all other, including medical equipment preparers",3,26211.4,165102
2014,Protective service occupations,2,47882.2,3305330
2015,Protective service occupations,2,48236,3234188
2014,Firstline supervisors of correctional officers,3,55755.7,57556
2015,Firstline supervisors of correctional officers,3,57451.4,59605
2014,Firstline supervisors of police & detectives,3,78408,107885
2015,Firstline supervisors of police & detectives,3,81596.6,100681
2014,Firstline supervisors of fire fighting & prevention workers,3,86985.1,45675
2015,Firstline supervisors of fire fighting & prevention workers,3,88820,46474
2014,"Firstline supervisors of protective service workers, all other",3,57490.3,75870
2015,"Firstline supervisors of protective service workers, all other",3,56707,72568
2014,Firefighters,3,63761.6,308750
2015,Firefighters,3,65927.8,279292
2014,Fire inspectors,3,55183.4,20586
2015,Fire inspectors,3,55247.8,18802
2014,"Bailiffs, correctional officers, & jailers",3,46567.7,437504
2015,"Bailiffs, correctional officers, & jailers",3,46678.9,422596
2014,Detectives & criminal investigators,3,75835.8,137269
2015,Detectives & criminal investigators,3,76917.8,126765
2014,Police officers,3,62142.3,753726
2015,Police officers,3,63850.5,737263
2014,Miscellaneous law enforcement workers,3,42229.1,15006
2015,Miscellaneous law enforcement workers,3,37038.5,13877
2014,Animal control workers,3,34496.7,11811
2015,Animal control workers,3,42052.1,9423
2014,Private detectives & investigators,3,57625.3,87427
2015,Private detectives & investigators,3,57670.4,78239
2014,Security guards & gaming surveillance officers,3,30114.5,996253
2015,Security guards & gaming surveillance officers,3,30158.2,1010289
2014,Crossing guards,3,16604.7,51650
2015,Crossing guards,3,16640,65401
2014,Transportation security screeners,3,42097.6,28913
2015,Transportation security screeners,3,43688,33511
2014,"Lifeguards & other recreational, & all other protective service workers",3,9819.24,169449
2015,"Lifeguards & other recreational, & all other protective service workers",3,10509.7,159402
2014,Food Preparation & Serving Related Occupations,2,16202.8,8608917
2015,Food Preparation & Serving Related Occupations,2,16764.7,8703885
2014,Chefs & head cooks,3,31005.1,400409
2015,Chefs & head cooks,3,31318.9,416339
2014,Firstline supervisors of food preparation & serving workers,3,24643.6,528886
2015,Firstline supervisors of food preparation & serving workers,3,26865.8,533492
2014,Cooks,3,16371.7,2327238
2015,Cooks,3,16764,2342808
2014,Food preparation workers,3,12513.6,954278
2015,Food preparation workers,3,13199.3,1000494
2014,Bartenders,3,22132.7,434534
2015,Bartenders,3,23112.5,423293
2014,"Combined food preparation & serving workers, including fast food",3,12378.5,399155
2015,"Combined food preparation & serving workers, including fast food",3,13033,383865
2014,"Counter attendants, cafeteria, food concession, & coffee shop",3,8246.72,189355
2015,"Counter attendants, cafeteria, food concession, & coffee shop",3,8788.52,203698
2014,Waiters & waitresses,3,15261.8,2196747
2015,Waiters & waitresses,3,15814.7,2231715
2014,"Food servers, nonrestaurant",3,18185,182940
2015,"Food servers, nonrestaurant",3,17001.9,182412
2014,Dishwashers,3,11307,323740
2015,Dishwashers,3,11893.1,322743
2014,"Hosts & hostesses, restaurant, lounge, & coffee shop",3,8623.01,316954
2015,"Hosts & hostesses, restaurant, lounge, & coffee shop",3,8603.38,304354
2014,"Miscellaneous food preparation & serving related workers, including dining room & cafeteria attendants & bartender helpers",3,13057,354681
2015,"Miscellaneous food preparation & serving related workers, including dining room & cafeteria attendants & bartender helpers",3,12926.7,358672
2014,Building & Grounds Cleaning & Maintenance Occupations,2,22647.1,5113262
2015,Building & Grounds Cleaning & Maintenance Occupations,2,23034.3,4973448
2014,Firstline supervisors of housekeeping & janitorial workers,3,38472.9,192564
2015,Firstline supervisors of housekeeping & janitorial workers,3,38558.1,200581
2014,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers",3,41139,111828
2015,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers",3,43297.1,119678
2014,Maids & housekeeping cleaners,3,17525.2,1214056
2015,Maids & housekeeping cleaners,3,17861.1,1190248
2014,Janitors & building cleaners,3,23280.1,2458205
2015,Janitors & building cleaners,3,23379.8,2366164
2014,Pest control workers,3,33987.1,69125
2015,Pest control workers,3,34148.6,68412
2014,Grounds maintenance workers,3,21488.2,1067484
2015,Grounds maintenance workers,3,22101.7,1028365
2014,Personal Care & Service Occupations,2,19099.6,4451344
2015,Personal Care & Service Occupations,2,19662.4,4586204
2014,Firstline supervisors of gaming workers,3,43065.6,19522
2015,Firstline supervisors of gaming workers,3,40826.8,22523
2014,Firstline supervisors of personal service workers,3,40374.1,66566
2015,Firstline supervisors of personal service workers,3,38237.2,67707
2014,Animal trainers,3,30924.7,28144
2015,Animal trainers,3,28467.2,29041
2014,Nonfarm animal caretakers,3,18712.5,175496
2015,Nonfarm animal caretakers,3,19003.2,194030
2014,Gaming services workers,3,33284,105570
2015,Gaming services workers,3,35397.9,101495
2014,Motion picture projectionists,3,18960.1,4058
2015,Motion picture projectionists,3,25017.4,2792
2014,"Ushers, lobby attendants, & ticket takers",3,8651.08,48497
2015,"Ushers, lobby attendants, & ticket takers",3,9121.4,47962
2014,Miscellaneous entertainment attendants & related workers,3,13509.9,201355
2015,Miscellaneous entertainment attendants & related workers,3,13234.2,208971
2014,"Morticians, undertakers, & funeral directors",3,53813.1,37562
2015,"Morticians, undertakers, & funeral directors",3,55953.9,34427
2014,Embalmers & funeral attendants,3,21607.7,13499
2015,Embalmers & funeral attendants,3,24604.8,16729
2014,Barbers,3,23610.5,73284
2015,Barbers,3,21759.3,57285
2014,"Hairdressers, hairstylists, & cosmetologists",3,21934,587201
2015,"Hairdressers, hairstylists, & cosmetologists",3,22782.9,579050
2014,Miscellaneous personal appearance workers,3,19656.2,256702
2015,Miscellaneous personal appearance workers,3,20757.5,263236
2014,"Baggage porters, bellhops, & concierges",3,26653.8,88200
2015,"Baggage porters, bellhops, & concierges",3,29647.9,82506
2014,Tour & travel guides,3,16271.8,48870
2015,Tour & travel guides,3,18898.9,52391
2014,Childcare workers,3,14254,940190
2015,Childcare workers,3,14726.6,937495
2014,Personal care aides,3,17635.8,1195385
2015,Personal care aides,3,18368.7,1296712
2014,Recreation & fitness workers,3,21435.2,385098
2015,Recreation & fitness workers,3,21683.6,382685
2014,Residential advisors,3,14052.9,87834
2015,Residential advisors,3,14318.9,79677
2014,"Personal care & service workers, all other ",3,17198,88311
2015,"Personal care & service workers, all other ",3,19665.8,129490
2014,Sales & related occupations,1,43372.6,14840356
2015,Sales & related occupations,1,44481.4,14940100
2014,Sales & Office Occupations,0,37446.3,33835995
2015,Sales & Office Occupations,0,38168.3,34274821
2014,Firstline supervisors of retail sales workers,3,46169.8,2809568
2015,Firstline supervisors of retail sales workers,3,47118.2,2848227
2014,Firstline supervisors of nonretail sales workers,3,80458.2,1107723
2015,Firstline supervisors of nonretail sales workers,3,83282.5,1112212
2014,Cashiers,3,13261.1,3314293
2015,Cashiers,3,13547.3,3351701
2014,Counter & rental clerks,3,24836.7,94526
2015,Counter & rental clerks,3,25570.5,90137
2014,Parts salespersons,3,37124.8,104052
2015,Parts salespersons,3,34200.2,120934
2014,Retail salespersons,3,27074.9,3390634
2015,Retail salespersons,3,27442.1,3377468
2014,Advertising sales agents,3,65682.4,166526
2015,Advertising sales agents,3,70317.4,156631
2014,Insurance sales agents,3,66643.4,490837
2015,Insurance sales agents,3,65147.7,494407
2014,"Securities, commodities, & financial services sales agents",3,128574,227818
2015,"Securities, commodities, & financial services sales agents",3,137112,226093
2014,Travel agents,3,38752,66987
2015,Travel agents,3,36923,66073
2014,"Sales representatives, services, all other",3,73851.2,621589
2015,"Sales representatives, services, all other",3,77215.5,631785
2014,"Sales representatives, wholesale & manufacturing",3,74886.1,1349271
2015,"Sales representatives, wholesale & manufacturing",3,77200.3,1338703
2014,"Models, demonstrators, & product promoters",3,17754.8,58798
2015,"Models, demonstrators, & product promoters",3,20036.6,52244
2014,Real estate brokers & sales agents,3,66130.5,558093
2015,Real estate brokers & sales agents,3,69061.2,577490
2014,Sales engineers,3,107157,34621
2015,Sales engineers,3,109139,34530
2014,Telemarketers,3,18904.3,78937
2015,Telemarketers,3,21407,81060
2014,"Doortodoor sales workers, news & street vendors, & related workers",3,22129.4,91264
2015,"Doortodoor sales workers, news & street vendors, & related workers",3,22721.2,98681
2014,Other Sales Workers,3,55322.2,274819
2015,Other Sales Workers,3,55812.6,281724
2014,Office & Administrative Support Occupations,2,32816.3,18995639
2015,Office & Administrative Support Occupations,2,33290.1,19334721
